Timestamp,Set,Serving?,Won?,Cause,Player,Rotation,Notes,Touches,Videos,,,official scores,,,,,
0:33,1,Serving,No,serve_err,Sofia,1,,,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,25-17,rotation:,,,,
0:45,1,Receiving,Yes,opp_err,,1,,,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,25-22,1,Avy,Amber,Alec,
1:12,1,Serving,Yes,our_point,Jess,2,,Alec:v2|o|Ish:r3|Avy:s3|Jess:a3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Michelle,Ish,Sofia,Jess
1:39,1,Serving,No,handling_bump,Sofia,2,,Alec:v2|o|Sofia:r3|Avy:s2|Amber:a2|o|Sofia:r0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,2,Jess,Avy,Amber,
2:00,1,Receiving,Yes,our_point,Jess,2,,Sofia:r3|Jess:a2|o|Avy:r2|Jess:a3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Ish,Sofia,Alec,Michelle
2:29,1,Serving,No,coverage,Sofia,3,,Amber:v2|o|Alec:r3|Jess:s2|Avy:r2|o|Sofia:r0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,3,Michelle,Jess,Avy,
2:41,1,Receiving,Yes,opp_err,,3,,,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Sofia,Alec,Amber,Ish
2:59,1,Serving,Yes,aced_on_them_suckas,Avy,4,,Avy:v2,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,4,Ish,Michelle,Jess,
3:12,1,Serving,Yes,aced_on_them_suckas,Avy,4,,Avy:v3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Alec,Amber,Avy,Sofia
3:28,1,Serving,Yes,aced_on_them_suckas,Avy,4,,Avy:v3|o,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,5,Sofia,Ish,Michelle,
3:42,1,Serving,No,handling_set,Michelle,4,,Avy:v2|o|Alec:r3|Michelle:s3|Ish:a2|o|Avy:r3|Michelle:s0|Jess:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Amber,Avy,Jess,Alec
3:58,1,Receiving,Yes,opp_err,,4,,,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,6,Alec,Sofia,Ish,
4:24,1,Serving,No,attack_out,Michelle,5,,Jess:v2|o|Avy:r3|Ish:s3|Michelle:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Avy,Jess,Michelle,Amber
4:37,1,Receiving,No,aced_on_us,Jess,5,,Jess:r0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,7,Amber,Alec,Sofia,
4:51,1,Receiving,No,aced_on_us,"Jess, Michelle, Avy",5,jess hit a rough but saveable receive - michelle prob should've gone for it but avy did + not able to transfer,Jess:r1|Avy:s1,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,Jess,Michelle,Ish,Avy
5:06,1,Receiving,No,aced_on_us,"Ish, Avy, Amber",5,need help call faster from setter,Michelle:r1|Avy:s0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
5:25,1,Receiving,No,coverage,Amber,5,,Amber:r3|Ish:s2|Sofia:a2|o|Amber:r0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
5:42,1,Receiving,No,attack_net,Sofia,5,,Amber:r3|Ish:s2|Sofia:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
6:17,1,Receiving,Yes,our_point,Ish,5,,Avy:r3|Ish:s3|Michelle:a2|o|Ish:r3|Sofia:s2|Avy:a3|o|Jess:r3|Ish:a2,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
6:33,1,Serving,No,serve_err,Michelle,6,,Michelle:v0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
6:50,1,Receiving,No,coverage,Michelle,6,,Jess:r3|Sofia:s2|Alec:a3|o|Michelle:r0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
7:21,1,Receiving,Yes,opp_err,,6,,Jess:r1|Michelle:s2|Ish:a2|o|Avy:r2|Alec:a2|o,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
7:40,1,Serving,Yes,aced_on_them_suckas,Ish,7,,Ish:v3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
7:55,1,Serving,Yes,aced_on_them_suckas,Ish,7,,Ish:v3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
8:25,1,Serving,No,handling_set,,7,didn't make it over,Ish:v2|o|Amber:r1|Jess:s2|Ish:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
8:33,1,Receiving,Yes,our_point,Alec,7,tip kill,Ish:r2|Amber:s2|Alec:a3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
8:50,1,Serving,Yes,aced_on_them_suckas,Sofia,1,,Sofia:v3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
9:02,1,Serving,Yes,aced_on_them_suckas,Sofia,1,,Sofia:v3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
9:17,1,Serving,Yes,aced_on_them_suckas,Sofia,1,,Sofia:v2,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
9:37,1,Serving,No,attack_net,Alec,1,,Sofia:v2|o|Ish:r2|Avy:s2|Alec:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
9:51,1,Receiving,Yes,our_point,Alec,1,,Alec:r3|Amber:s3|Alec:a3,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
10:06,1,Serving,No,attack_net,"Avy, Jess",2,tough,Alec:v2|o|Jess:r1|Avy:s0|Jess:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
10:23,1,Receiving,No,attack_out,Jess,2,tough - tight set,Alec:r2|Avy:s2|Jess:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
11:03,1,Receiving,No,attack_out,Jess,2,,Alec:r3|Avy:s3|Amber:a2|o|Avy:a2|o|Amber:r2|Avy:s2|Amber:a2|o|Amber:r2|Avy:s3|Jess:a0,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
11:16,1,Receiving,Yes,opp_err,Jess,2,,Avy:r3|Jess:a2|o,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
11:32,1,Serving,Yes,aced_on_them_suckas,Amber,3,,Amber:v2,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
11:50,1,Serving,Yes,aced_on_them_suckas,Amber,3,,Amber:v2,https://www.youtube.com/watch?v=0LiMlkdcY1k,,,,,,,,
